"Quarter","HB","HBQF","HBName","HBNameQF","ADPName","ADPNameQF","ServiceType","ServiceTypeQF","SubstanceType","SubstanceTypeQF","NumberOfReferrals","PercentageOfReferrals"
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Alcohol","",102,1.914
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Alcohol","",107,2.144
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Alcohol","",115,2.294
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","All","d",201,1.84
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","All","d",228,2.204
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","All","d",186,1.755
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","All","d",184,1.823
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","All","d",211,2.062
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Co-dependency","",21,1.522
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Co-dependency","",26,1.816
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Co-dependency","",10,0.69
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Co-dependency","",14,1.024
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Co-dependency","",24,1.744
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Drug","",75,1.88
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Drug","",93,2.52
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Drug","",74,1.938
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Drug","",63,1.687
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","South Ayrshire ADP","","Community-based service","","Drug","",72,1.873
"Q4 2023/2024","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","Alcohol","",0,0
"Q4 2023/2024","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","Alcohol","",197,31.024
"Q1 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","Alcohol","",0,0
"Q1 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","Alcohol","",157,24.417
"Q2 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","Alcohol","",0,0
"Q2 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","Alcohol","",177,25.25
"Q3 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","Alcohol","",0,0
"Q3 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","Alcohol","",151,30.261
"Q4 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","Alcohol","",0,0
"Q4 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","Alcohol","",128,28.256
"Q4 2023/2024","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","All","d",0,0
"Q4 2023/2024","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","All","d",302,31.89
"Q1 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","All","d",0,0
"Q1 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","All","d",217,24.192
"Q2 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","All","d",0,0
"Q2 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","All","d",244,25.311
"Q3 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","All","d",0,0
"Q3 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","All","d",206,29.985
"Q4 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","All","d",0,0
"Q4 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","All","d",175,28.135
"Q4 2023/2024","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","Co-dependency","",0,0
"Q4 2023/2024","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","Co-dependency","",58,36.709
"Q1 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","Co-dependency","",0,0
"Q1 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","Co-dependency","",21,17.647
"Q2 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","Co-dependency","",0,0
"Q2 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","Co-dependency","",38,25.333
"Q3 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","Co-dependency","",0,0
"Q3 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","Co-dependency","",26,30.233
"Q4 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","Co-dependency","",0,0
"Q4 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","Co-dependency","",22,27.848
"Q4 2023/2024","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","Drug","",0,0
"Q4 2023/2024","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","Drug","",47,30.519
"Q1 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","Drug","",0,0
"Q1 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","Drug","",39,28.889
"Q2 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","Drug","",0,0
"Q2 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","Drug","",29,25.664
"Q3 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","Drug","",0,0
"Q3 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","Drug","",29,28.431
"Q4 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Community-based service","","Drug","",0,0
"Q4 2024/2025","S08000032","","NHS Lanarkshire","","South Lanarkshire ADP","","Hospital-based service","","Drug","",25,27.778
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","Alcohol","",85,1.53
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","Alcohol","",8,14.815
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","Alcohol","",97,1.858
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","Alcohol","",3,5.357
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","Alcohol","",107,2.008
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","Alcohol","",3,6.977
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","Alcohol","",110,2.204
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","Alcohol","",4,8.163
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","Alcohol","",107,2.135
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","Alcohol","",2,5.263
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","All","d",199,1.821
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","All","d",77,8.452
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","All","d",210,2.03
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","All","d",86,7.685
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","All","d",220,2.076
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","All","d",96,9.467
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","All","d",226,2.239
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","All","d",69,7.958
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","All","d",225,2.199
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","All","d",74,9.379
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","Co-dependency","",20,1.449
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","Co-dependency","",5,3.846
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","Co-dependency","",37,2.584
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","Co-dependency","",16,9.581
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","Co-dependency","",21,1.449
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","Co-dependency","",28,19.31
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","Co-dependency","",23,1.683
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","Co-dependency","",13,11.017
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","Co-dependency","",23,1.672
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","Co-dependency","",15,12.295
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","Drug","",94,2.356
"Q4 2023/2024","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","Drug","",64,8.803
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","Drug","",76,2.06
"Q1 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","Drug","",67,7.478
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","Drug","",92,2.409
"Q2 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","Drug","",65,7.869
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","Drug","",93,2.491
"Q3 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","Drug","",52,7.429
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Community-based service","","Drug","",95,2.471
"Q4 2024/2025","S08000019","","NHS Forth Valley","","Stirling ADP","","Prison-based service","","Drug","",57,9.062
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","Alcohol","",112,2.015
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","Alcohol","",118,2.26
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","Alcohol","",106,1.989
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","Alcohol","",108,2.164
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","Alcohol","",122,2.434
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","All","d",238,2.178
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","All","d",262,2.533
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","All","d",231,2.18
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","All","d",227,2.249
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","All","d",240,2.345
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","Co-dependency","",54,3.913
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","Co-dependency","",56,3.911
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","Co-dependency","",56,3.865
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","Co-dependency","",50,3.658
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","Co-dependency","",43,3.125
"Q4 2023/2024","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","Drug","",72,1.805
"Q1 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","Drug","",88,2.385
"Q2 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","Drug","",69,1.807
"Q3 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","Drug","",69,1.848
"Q4 2024/2025","S08000031","","NHS Greater Glasgow & Clyde","","West Dunbartonshire ADP","","Community-based service","","Drug","",75,1.951
"Q4 2023/2024","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","Alcohol","",225,4.049
"Q4 2023/2024","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","Alcohol","",0,0
"Q1 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","Alcohol","",221,4.233
"Q1 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","Alcohol","",0,0
"Q2 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","Alcohol","",242,4.541
"Q2 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","Alcohol","",0,0
"Q3 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","Alcohol","",161,3.226
"Q3 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","Alcohol","",0,0
"Q4 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","Alcohol","",200,3.99
"Q4 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","Alcohol","",2,5.263
"Q4 2023/2024","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","All","d",420,3.844
"Q4 2023/2024","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","All","d",29,3.183
"Q1 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","All","d",431,4.167
"Q1 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","All","d",32,2.86
"Q2 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","All","d",479,4.52
"Q2 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","All","d",29,2.86
"Q3 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","All","d",368,3.646
"Q3 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","All","d",38,4.383
"Q4 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","All","d",415,4.056
"Q4 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","All","d",27,3.422
"Q4 2023/2024","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","Co-dependency","",51,3.696
"Q4 2023/2024","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","Co-dependency","",2,1.538
"Q1 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","Co-dependency","",52,3.631
"Q1 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","Co-dependency","",3,1.796
"Q2 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","Co-dependency","",60,4.141
"Q2 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","Co-dependency","",1,0.69
"Q3 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","Co-dependency","",60,4.389
"Q3 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","Co-dependency","",8,6.78
"Q4 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","Co-dependency","",64,4.651
"Q4 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","Co-dependency","",4,3.279
"Q4 2023/2024","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","Drug","",144,3.61
"Q4 2023/2024","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","Drug","",27,3.714
"Q1 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","Drug","",158,4.282
"Q1 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","Drug","",29,3.237
"Q2 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","Drug","",177,4.635
"Q2 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","Drug","",28,3.39
"Q3 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","Drug","",147,3.937
"Q3 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","Drug","",30,4.286
"Q4 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Community-based service","","Drug","",151,3.927
"Q4 2024/2025","S08000024","","NHS Lothian","","West Lothian ADP","","Prison-based service","","Drug","",21,3.339
"Q4 2023/2024","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","Alcohol","",41,0.738
"Q1 2024/2025","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","Alcohol","",40,0.766
"Q2 2024/2025","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","Alcohol","",54,1.013
"Q3 2024/2025","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","Alcohol","",39,0.781
"Q4 2024/2025","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","Alcohol","",37,0.738
"Q4 2023/2024","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","All","d",58,0.531
"Q1 2024/2025","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","All","d",55,0.532
"Q2 2024/2025","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","All","d",63,0.595
"Q3 2024/2025","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","All","d",43,0.426
"Q4 2024/2025","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","All","d",55,0.537
"Q4 2023/2024","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","Co-dependency","",8,0.58
"Q1 2024/2025","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","Co-dependency","",10,0.698
"Q2 2024/2025","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","Co-dependency","",3,0.207
"Q3 2024/2025","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","Co-dependency","",3,0.219
"Q4 2024/2025","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","Co-dependency","",7,0.509
"Q4 2023/2024","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","Drug","",9,0.226
"Q1 2024/2025","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","Drug","",5,0.136
"Q2 2024/2025","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","Drug","",6,0.157
"Q3 2024/2025","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","Drug","",1,0.027
"Q4 2024/2025","S08000028","","NHS Western Isles","","Western Isles ADP","","Community-based service","","Drug","",11,0.286
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","Alcohol","",322,5.794
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","Alcohol","",4,7.407
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","Alcohol","",332,6.359
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","Alcohol","",5,8.929
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","Alcohol","",313,5.874
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","Alcohol","",11,25.581
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","Alcohol","",352,7.053
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","Alcohol","",9,18.367
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","Alcohol","",305,6.085
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","Alcohol","",5,13.158
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","All","d",678,6.205
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","All","d",87,9.55
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","All","d",680,6.574
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","All","d",108,9.651
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","All","d",679,6.407
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","All","d",123,12.13
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","All","d",742,7.352
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","All","d",79,9.112
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","All","d",593,5.795
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","All","d",94,11.914
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","Co-dependency","",61,4.42
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","Co-dependency","",7,5.385
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","Co-dependency","",60,4.19
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","Co-dependency","",11,6.587
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","Co-dependency","",71,4.9
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","Co-dependency","",9,6.207
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","Co-dependency","",90,6.584
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","Co-dependency","",4,3.39
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","Co-dependency","",69,5.015
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","Co-dependency","",8,6.557
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","Drug","",295,7.395
"Q4 2023/2024","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","Drug","",76,10.454
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","Drug","",288,7.805
"Q1 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","Drug","",92,10.268
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","Drug","",295,7.725
"Q2 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","Drug","",103,12.47
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","Drug","",300,8.034
"Q3 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","Drug","",66,9.429
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Community-based service","","Drug","",219,5.696
"Q4 2024/2025","S08000015","","NHS Ayrshire & Arran","","All NHS Ayrshire & Arran ADPs","d","Prison-based service","","Drug","",81,12.878
"Q4 2023/2024","S08000016","","NHS Borders","","All NHS Borders ADPs","d","Community-based service","","Alcohol","",75,1.35
"Q1 2024/2025","S08000016","","NHS Borders","","All NHS Borders ADPs","d","Community-based service","","Alcohol","",66,1.264
"Q2 2024/2025","S08000016","","NHS Borders","","All NHS Borders ADPs","d","Community-based service","","Alcohol","",80,1.501
"Q3 2024/2025","S08000016","","NHS Borders","","All NHS Borders ADPs","d","Community-based service","","Alcohol","",71,1.423
"Q4 2024/2025","S08000016","","NHS Borders","","All NHS Borders ADPs","d","Community-based service","","Alcohol","",69,1.377
"Q4 2023/2024","S08000016","","NHS Borders","","All NHS Borders ADPs","d","Community-based service","","All","d",129,1.181
"Q1 2024/2025","S08000016","","NHS Borders","","All NHS Borders ADPs","d","Community-based service","","All","d",122,1.18
"Q2 2024/2025","S08000016","","NHS Borders","","All NHS Borders ADPs","d","Community-based service","","All","d",128,1.208
